Business Name,Website,Toll Free No,Category
Blue Star,www.bluestarindia.com,18602666666,AC Dealers & Services & Rentals
Carrier Air Conditioner,www.carrierindia.com,180030003545,AC Dealers & Services & Rentals
Hitachi Air Conditioner (Delhi),www.hitachi.co.in,"18001020092,18601809080",AC Dealers & Services & Rentals
Panasonic,www.panasonic.com,18604251860,AC Dealers & Services & Rentals
Air Deccan,www.airdeccan.net,18004257008,Airlines & Airports
Air France,www.airfrance.inÂ ,18001800033,Airlines & Airports
Air India- Reservation Offices,www.airindia.com,1800227722,Airlines & Airports
Air Sahara,www.airsahara.net,1800223020,Airlines & Airports
Airasia,www.airasia.com,18605008000,Airlines & Airports
American Airlines,www.aa.com,18001807300,Airlines & Airports
British Airways,www.britishairways.com,"18001801213,18001021213",Airlines & Airports
Cathay Pacific,www.cathaypacific.com,18002091616,Airlines & Airports
Delta Airlines,www.delta.com,1800225200,Airlines & Airports
Emirates,www.emirates.com/in,18002332020,Airlines & Airports
Etihad Airways,www.etihadairways.com,18001233901,Airlines & Airports
Finnair,www.finnair.com/in,18001021233,Airlines & Airports
Flying Returns,www.flyingreturns.co.in,1800227722,Airlines & Airports
Go Air,www.goair.in,1800222111,Airlines & Airports
Gulf Airlines,www.gulfair.com,18001237474,Airlines & Airports
Indian Airlines,www.indianairlines.in,18001801407,Airlines & Airports
IndiGo,www.goindigo.in,18001803838,Airlines & Airports
Jet Airways,www.jetairways.com,1800225522,Airlines & Airports
Jet Lite,www.jetlite.com,1800223020,Airlines & Airports
Kingfisher Airlines,www.flykingfisher.com,"18001800101,18002333131",Airlines & Airports
Kingfisher Training Academy,www.kingfisheracademy.com,18002093800,Airlines & Airports
KLM,www.klm.com,18001800044,Airlines & Airports
Lufthansa - Miles & More,www.lufthansa.com,18001025838,Airlines & Airports
MDLR Airlines,www.mdlrairlines.in,18001031800,Airlines & Airports
Paramount Airways,www.onlineparamount.com,18001801234,Airlines & Airports
Rajiv Gandhi International Airport,www.hyderabad.aero,18004192008,Airlines & Airports
SpiceJet,www.spicejet.com,18001803333,Airlines & Airports
Swiss,www.swiss.com,1800220724,Airlines & Airports
Thai Airways (Mumbai),www.thaiairways.co.in,18001021225,Airlines & Airports
United Airlines,www.united.com,18002003344,Airlines & Airports
Virgin Atlantic - Delhi Reservation,www.virginatlantic.com,"1800112333,18001023000",Airlines & Airports
Ashok Leyland,www.ashokleyland.com,18002663340,Automotive
Audi India,www.audi.co.in,"1800112834,1800224800",Automotive
Automartindia,www.automartindia.com,1800224800,Automotive
Aviations India,www.aviatorsindia.com,18004259898,Automotive
Bajaj Auto Limited,www.bajajauto.com,18002332453,Automotive
BMW,www.bmw.in,18001032211,Automotive
Chevrolet,www.chevrolet.co.in,180030008080,Automotive
EDS,,18001028822,Automotive
Fiat India Private Limited,www.fiat-india.com,"1800225552,18002093428",Automotive
Ford,www.india.ford.com,18004253545,Automotive
Ford Car,www.india.ford.com,18004252500,Automotive
Goodyear,www.goodyear.co.in,18002666767,Automotive
Hero Motocorp,www.heromotocorp.com,18002660018,Automotive
Honda Car,www.hondacarindia.com,"1800113121,18001033121",Automotive
Honda Two Wheelers,www.herohonda.com,18001033434,Automotive
Hyundai,www.hyundai.co.in,"1800114645,18001024645",Automotive
JCB India,www.jcb.com,18002000522,Automotive
L & t,www.larsentoubro.com,18002094545,Automotive
Mahindra,www.mahindra.com,1800226075,Automotive
Mahindra 2 Wheelers,www.mahindra2wheelers.com,18002338883,Automotive
Mahindra First Choice,www.mahindrafirstchoice.com,18001024800,Automotive
Mahindra Motors,www.mahindra.com,18004251624,Automotive
Mahindra Renault,www.mahindrarenault.com,1800226006,Automotive
Mahindra Scorpio,www.mahindrascorpio.com,1800226006,Automotive
Mak Lubricants,www.maklubes.com,1800224160,Automotive
Maruti,www.marutisuzuki.com,1800111515,Automotive
Maruti Suzuki,www.marutisuzuki.com,18001800180,Automotive
Mercedes-Benz,www.mercedes-benz.co.in,18001029222,Automotive
Micro Technologies,www.microtechnologies.net,18002092000,Automotive
Nissan Micra,www.nissanmicra.co.in,18002094080,Automotive
Reva,www.revaindia.com,18004256789,Automotive
Sagas Auto Tec,www.sagas.co.in,18004250777,Automotive
Skoda Fabia,www.newskodafabia.co.in,18002094646,Automotive
Skoda India,www.skoda-auto.co.in,18001026464,Automotive
Skoda India,www.skoda-auto.co.in,18001026464,Automotive
Tata Aria,cars.tatamotors.com,18002097979,Automotive
Tata Manza,cars.tatamotors.com,18002097979,Automotive
Tata Motors,www.tatamotors.com,"1800225370,18002097979",Automotive
Toyota,www.toyotabharat.com,"18004250001,18001025001",Automotive
Tractors India Limited (TIL),www.tilindia.in,18003453355,Automotive
TVS Electronics,www.tvs-e.in,18004254566,Automotive
TVS Jive,www.tvsjive.com,18004252077,Automotive
TVS Motor,www.tvsmotor.in,1800425207,Automotive
Vespa,www.vespa.in,18001088784,Automotive
Volkswagen India,www.volkswagen.co.in,"18001020909,18002090909",Automotive
Volvo,www.volvocars.com,18002660388,Automotive
Windshield Experts,www.windshieldexperts.com,1800113636,Automotive
Yamaha,www.yamaha-motor-india.com,18004201600,Automotive
ABN AMRO,www.abnamro.com,1800112224,Banks
Allahabad Bank,www.allahabadbank.com,1800220363,Banks
American Express,http://home.americanexpress.com,1800222639,Banks
Andhra Bank,www.andhrabank.in,18004254059,Banks
Andhra Bank Debit Card,www.andhrabank.in,18004252910,Banks
Andhra Bank Net Banking,www.andhrabank.in,18004251515,Banks
ANZ Bank (Mumbai),www.anz.com,18002000269,Banks
Axis Bank,www.axisbank.com,"18002335577,18002095577",Banks
Bank of Baroda,www.bankofbaroda.com,1800224447,Banks
Bank of India,www.bankofindia.com,"1800229200,18004251112",Banks
Bank of India (BOI),www.bankofindia.co.in,"1800220088,1800220229",Banks
Bank of Maharashtra,www.bankofmaharashtra.in,"1800222340,1800220888",Banks
Barclays Bank,www.barclays.in,18002336565,Banks
Canara Bank,www.canarabank.in,18004250018,Banks
Cash Tree,www.cashtreeonline.com,18004251112,Banks
Cashnet India,www.cashnetindia.com,1800225087,Banks
Central Bank of India,www.centralbankofindia.co.in,1800222368,Banks
Centurion Bank of Punjab,www.centurionbop.co.in,18001023333,Banks
Citibank,www.online.citibank.co.in,18004252484,Banks
Citibank ombudsman,www.citibank.com/india,18004194357,Banks
CitiBusiness,www.citibank.com/india,18001800123,Banks
Corporation Bank,www.corpbank.com,1800443555,Banks
DCB Bank (Mumbai),www.dcbbank.com,18002095363,Banks
Dena Bank,www.denabank.com,"1800225740,1800225086",Banks
Deutsche Bank,www.deutschebank.co.in,"18001236601,18602666601",Banks
Development Credit Bank,www.dcbl.com,"1800225769,1800220545",Banks
Dhanlakshmi Bank,www.dhanbank.com,18004251747,Banks
Federal Bank,www.federalbank.co.in,18004251199,Banks
HDFC Bank,www.hdfcbank.com,18004254332,Banks
HDFC Bank Credit Cards,www.hdfcbank.com,18002664332,Banks
HDFC Deposits,www.hdfc.com,1800222022,Banks
HDFC Net Banking (Ahmedabad ),www.hdfcbank.com,1800224060,Banks
HSBC,www.hsbc.co.in,18002090100,Banks
HSBC Premier,www.hsbcpremier.com,"1800224722,18001034722",Banks
IBPS,www.ibps.in,1800222366,Banks
ICICI Amc (Mumbai),www.icicibank.com,1800200666,Banks
ICICI Bank,www.icicibank.com,"1800333499,1800224848",Banks
ICICI Bank Debit Card,www.icicibank.com,18602585000,Banks
ICICI Bank NRI,www.icicibank.com/nri,1800224848,Banks
IDBI Bank,www.idbi.com,"1800116999,18002004324",Banks
Indian Bank,www.indianbank.in,"1800441400,18004251400",Banks
Indian Overseas Bank,www.iob.in,"18004254445,18004257744",Banks
Indusind Bank,www.indusind.com,18602677777,Banks
ING Vysya,www.ingvysyabank.com,1800449900,Banks
ING Vysya Bank,www.ingvysyabank.com,"18004209900,18004259900",Banks
Karnataka Bank,www.karnatakabank.com,18004251444,Banks
Karur Vysya Bank,www.kvb.co.in,18001021916,Banks
Kotak Bank (Mumbai ),www.kotak.com,1800102602,Banks
Kotak Mahindra,www.kotak.com,18001026022,Banks
Kotak Mahindra Bank,www.kotak.com,1800226022,Banks
Lakshmi Vilas Bank,www.lvbank.com,18004252233,Banks
Lord Krishna Bank,www.lvbank.com,1800112300,Banks
Maharashtra Bank,www.bankofmaharashtra.in,"18001022636,18002334526,18002334722",Banks
National Bank for Agriculture and Rural Development (NABARD),www.nabard.org,1800229009,Banks
Oriental Bank of Commerce,www.obcindia.co.in,18003452424,Banks
PNB Credit Cards,www.pnbcard.in,"18001802345,1800226022",Banks
Punjab And Sind Bank,www.psbindia.com,18004198300,Banks
Punjab National Bank (PNB),www.pnbindia.com,18001802222,Banks
Punjab National Bank Debit Card Rewardz Point (PNB Rewardz),www.pnbrewardz.com,18002093335,Banks
SBH,www.sbhyd.com,18004251825,Banks
SBI,www.sbi.co.in,"18002337933,18004259010,1800441955",Banks
SBI Cards,www.sbicard.com,18001801290,Banks
SBI Railway Card,www.sbicard.com,18001801295,Banks
Small Industries Development Bank of India (SIDBI),www.sidbi.in,1800226753,Banks
South Indian Bank,www.southindianbank.com,"18008431800,18004251809",Banks
Standard Chartered Bank,www.standardchartered.co.in,"18003451212,18003455000",Banks
State Bank of Bikaner and Jaipur (SBBJ),www.sbbjbank.com,18001806005,Banks
State Bank of Hyderabad,www.sbhyd.com,18004254055,Banks
State Bank of India (SBI),www.statebankofindia.com,"1800112211,18004258002",Banks
State Bank of Indore,www.indorebank.org,"18002336677,18004252241",Banks
State Bank of Mysore,www.statebankofmysore.co.in,18004252244,Banks
State Bank of Patiala,www.sbp.co.in,18001802010,Banks
State Bank of Travancore (SBT),www.statebankoftravancore.com,18004255566,Banks
Syndicate Bank,www.syndicatebank.co,18004256655,Banks
Tamilnad Mercantile Bank (TMB),www.tmb.in,18004250426,Banks
Tata Card,www.tatacard.com,18001808282,Banks
UCO Bank,www.ucobank.com,18003450123,Banks
Union Bank of India,www.unionbankofindia.co.in,"1800222244,18002082244",Banks
United Bank of India,www.unitedbankofindia.com,18003450345,Banks
Vijaya Bank (Bangalore),www.vijayabank.com,18004255885,Banks
VISA - Credit and Debit Gold Cards,www.visagoldoffers.com,18004254446,Banks
Yes Bank,www.yesbank.in,18002000,Banks
Jaquar,www.jaquar.com,18001216808,Bath Room Solutions
Ald Automotive,www.aldautomotive.in,18001025253,Car Rentals
Avis,www.avis.com,"18001032847,1800112525",Car Rentals
Carnation,www.carnation.in,18001024400,Car Rentals
Carzonrent India,www.carzonrent.com,1800111212,Car Rentals
Aakash Institute,www.aakashinstitute.com,18001022727,Coaching/Training
Actor Prepares,www.actorprepares.net,"18002091231,18002704567",Coaching/Training
Aliah University,www.aliah.ac.in,18003451786,Coaching/Training
Amity - Lucknow Campus,www.amity.edu,18001800999,Coaching/Training
Amity - Noida Campus,www.amity.edu,1800110000,Coaching/Training
Apeejay Stya University,www.apeejay.edu,18001037888,Coaching/Training
Aptech Computer Education,www.aptech-education.com,18002091444,Coaching/Training
Aptech Limited,www.aptech.ac.in,1800221550,Coaching/Training
Asia Graduate School of Business,www.asiagsb.ac.in,1800229727,Coaching/Training
Asia-Pacific Institute of Management (AIM),www.asiapacific.edu,1800113334,Coaching/Training
Avalon Academy,www.avalonacademy.in,18001022002,Coaching/Training
Balaji Polytechnic Bhiwani,www.balajipolytech.org,18001801664,Coaching/Training
Bangalore Institute of Oncology,,18001026626,Coaching/Training
Bhiwani Board (HBSE),www.hbse.ac.in,18001804171,Coaching/Training
Bilcare Research Academy,www.bilcareacademy.com,18002091002,Coaching/Training
Canadian Institute for International Studies,www.theciis.org,"18001802007,18004256626",Coaching/Training
Career Launcher,www.careerlauncher.com,8882120120,Coaching/Training
Careersuniverse,www.careersuniverse.com,18004252215,Coaching/Training
Central Board of Secondary Education (CBSE),www.cbse.nic.in,1800117002,Coaching/Training
"Central Institute of Psychiatry (CIP), Ranchi",www.cipranchi.nic.in,18003451849,Coaching/Training
Centum U,www.centumu.edu.in,18001034457,Coaching/Training
Clinical Research Education And Management Academy (CREMA),www.cremaindia.org,18002093731,Coaching/Training
CMS Computer Institute,www.cmsinstitute.co.in,1800220027,Coaching/Training
DSK Supinfocom International Campus (DSKSIC),www.dsksic.com,18002095020,Coaching/Training
Edify School,www.edifyschools.com,18002669999,Coaching/Training
Edu Plus,www.eduplus.co.in,1800444000,Coaching/Training
Eten CA,www.eten.educomp.com,180010383622,Coaching/Training
FIITJEE,www.fiitjee.com,1800114242,Coaching/Training
Focus Institute of Pharma Skills (FIPS),www.fips.net.in,18004251221,Coaching/Training
Future Education,www.feltd.in,18002092999,Coaching/Training
GCE | Gurgaon College Of Engineering,www.gcegurgaon.in,18001802123,Coaching/Training
GCEW Gurgaon | Gurgaon College of Engineering For Women,www.gcew.net,18001802325,Coaching/Training
Genesis Tally Academy,www.feltd.in,1800444888,Coaching/Training
GITM Gurgaon | Gurgaon Institute of Technology and Management,www.gitm.co.in,18001801719,Coaching/Training
Global School of Management Science,www.globalschool.co.in,1800115588,Coaching/Training
GMS,www.gms.rbs.edu.in,1800110067,Coaching/Training
GOLS Academy,www.golsacademy.com,1800225627,Coaching/Training
Haryana State Counseling Society (HSCS),www.hscs.org,18004202026,Coaching/Training
Hindustan College,www.hindustanuniv.ac.in,18004254438,Coaching/Training
HTSIGNOU,www.htsignou.com,18001801183,Coaching/Training
IACM SmartLearn,www.iacm-india.com,1800114226,Coaching/Training
IBSAT,www.ibsat.org,18001030303,Coaching/Training
ICRI - Global Research,www.icriglobal-research.com,18001030006,Coaching/Training
Igenius,www.igenius.org,"18002005577,18004252911",Coaching/Training
Impel Overseas,www.impeloverseas.com,18001022829,Coaching/Training
IndiaCan,www.indiacan.com,18001025665,Coaching/Training
Indian Institute of Job-Oriented Training (IIJT),www.iijt.net,18002666777,Coaching/Training
Indian Institute of Planning and Management (IIPM),www.iipm.edu,18001030909,Coaching/Training
Indian School of Integrated Learning (ISIL),www.isil.in,18002098283,Coaching/Training
Institute for Technology and Management (ITM),www.itm.edu,1800229727,Coaching/Training
"Institute of Finance, Banking & Insurance (IFBI)",www.ifbi.com,18001806448,Coaching/Training
International Institute of Info tech,www.iiit.ac.in,18002336372,Coaching/Training
International Institute of Information Technology (I2IT),www.isquareit.ac.in,18002334499,Coaching/Training
iSchool,www.everonnischool.com,18001021515,Coaching/Training
ITM Business School,www.itm.edu,1800229727,Coaching/Training
ITM Group of Institutions,www.itm.edu,"18002099727,18002002725",Coaching/Training
Jaipuria Institute of Management (JIML),www.jiml.ac.in,18001803444,Coaching/Training
Jawed Habib,www.jawedhabib.co.in,18001026116,Coaching/Training
Jayoti Vidyapeeth Women's University,www.jvwomensuniv.com,18002005055,Coaching/Training
Jet King,www.jetkinginfotrain.com,"18002094010,1800229727",Coaching/Training
Kuoni Academy,www.kuoniacademy.co.in,1800223344,Coaching/Training
Les Roches,www.lesroches.edu,1800222006,Coaching/Training
Livewel Academy,www.livewelacademy.com,18002090299,Coaching/Training
Lovely Professional University-LPU,www.lpu.in,"18001024416,18001027788",Coaching/Training
Ma Foi Academy,www.mafoirandstad.com,1800446800,Coaching/Training
Manav Rachna International University,www.mriu.edu.in,18001020707,Coaching/Training
Manipal University,www.manipal.edu,"18004256243,18001024431",Coaching/Training
Marshals Point,www.manipal.edu,1800334488,Coaching/Training
MIT School of Distance Education,www.mitsde.com,18002336376,Coaching/Training
Mumbai Educational Trust (MET),www.met.edu,1800220234,Coaching/Training
MVN Education,www.mvneducation.com,18001039888,Coaching/Training
N-CARE Pioneers,www.niamcare.com,18001037678,Coaching/Training
